battery_power,ram,price_range
842,2549,0
1021,2631,1
563,2603,1
615,2769,1
1821,1411,0
1859,1067,0
1821,3220,1
1954,700,0
1445,1099,0
509,513,0
769,3946,1
1520,3826,1
1815,1482,0
803,2680,1
1866,373,0
775,568,0
838,3554,1
595,3752,1
1131,1835,0
682,2337,0
772,2819,1
1709,3283,1
1949,1433,0
1602,1037,0
503,2583,0
961,2782,1
519,3763,1
956,3286,1
1453,2373,1
851,478,0
1579,3532,1
1568,508,0
1319,2227,0
1310,3845,1
644,1262,0
725,1326,0
589,2113,0
1725,3429,1
790,3169,1
560,2150,1
1347,2484,1
1646,3339,1
1253,1878,0
1656,1629,0
1195,504,0
1514,1152,0
1723,3587,1
1054,2296,0
578,1270,0
596,3238,1
1547,2059,1
1760,2053,1
1654,3112,1
1457,1440,0
1073,2908,1
1936,2552,1
823,905,0
987,3963,1
1757,2056,0
1063,2910,1
1484,1457,0
799,431,0
1156,470,0
1720,2148,1
702,2955,1
616,3366,1
1358,3068,1
1866,3834,1
1242,1050,0
1166,3993,1
1448,3378,1
1407,2192,1
605,392,0
1038,3709,1
797,590,0
819,1814,0
1114,907,0
1234,1449,0
1199,3448,1
1103,1837,0
1589,3464,1
999,2593,1
1510,3484,1
1008,2009,0
1127,2048,0
1412,837,0
1496,854,0
1083,3210,1
668,2746,1
1309,2334,1
1724,2822,1
1977,1971,1
885,1410,0
879,349,0
1322,1418,0
1137,3616,1
1355,880,0
1665,1601,1
657,1412,0
593,1692,0
1883,2600,1
1732,1308,0
543,2413,0
1939,1047,0
553,1204,0
832,1799,0
1661,2676,1
1657,2597,1
1135,3029,1
1775,2343,1
783,2016,0
617,2213,0
867,790,0
1310,3182,1
1804,3472,1
1900,2871,1
909,3187,1
1084,1945,0
1308,488,0
1778,1214,0
1701,2598,1
772,3242,1
825,3534,1
1379,3426,1
1166,2488,1
1659,3255,1
826,2863,1
1564,1496,0
1957,3801,1
1571,666,0
1414,3799,1
1790,1366,0
645,2962,1
668,2399,0
1652,2338,1
1213,2700,1
1272,2235,0
866,3825,1
536,284,0
523,1427,0
1753,1324,1
1218,398,0
1537,3685,1
786,2390,1
1678,278,0
1814,3556,1
1101,2196,0
1461,3799,1
1216,2268,1
506,2965,1
843,2341,0
742,3557,1
1692,1354,0
1485,2147,1
1547,505,0
1692,1394,0
637,374,0
1224,506,0
1356,3702,1
1840,1078,0
1481,2945,1
961,2981,1
1296,490,0
1193,536,0
1441,2317,1
517,3704,1
748,2126,0
1126,2050,1
1572,2462,1
1569,1260,0
1270,3770,1
1854,1886,0
625,3323,1
1577,2060,1
534,3926,1
946,2177,1
685,728,0
1949,2478,1
947,2842,1
801,1617,0
703,1472,0
1165,764,0
1082,2337,1
959,3965,1
1502,3693,1
1380,797,0
1266,1687,1
1934,2940,1
1905,1545,0
1831,3834,1
596,2505,0
1562,2243,1
1490,3600,1
1523,3971,1
640,2844,1
1526,2227,1
1989,1665,1
1308,3355,1
609,1866,0
1905,1287,0
1703,1046,0
1445,1441,0
1087,690,0
671,2504,1
1472,2677,1
765,2243,1
1642,2984,1
1265,1362,0
664,3629,1
1277,3559,1
1395,2571,1
1539,2107,1
1049,1022,0
1827,2844,1
903,711,0
1987,3117,1
1154,978,0
1336,1869,0
1886,1179,0
1551,3844,1
850,593,0
660,588,0
1225,3836,1
1452,2669,1
1686,2958,1
1634,3031,1
1708,3388,1
1151,2377,1
1578,2458,1
1689,2766,1
1488,3054,1
1313,3791,1
1715,625,0
1442,2227,0
528,3256,1
1523,707,0
1133,1457,0
1718,3755,1
1330,1733,0
1799,720,0
633,3560,1
724,2311,1
822,3846,1
1918,1717,1
1891,3704,1
1373,3800,1
862,278,0
1273,1767,0
957,1846,0
1617,829,0
893,2986,1
1210,2394,1
708,2169,0
835,1181,0
1450,575,0
973,2977,1
601,532,0
507,1702,0
564,1074,0
1559,3352,1
754,1027,0
728,2039,0
1431,461,0
767,527,0
1722,3271,1
1992,606,0
1876,2513,1
1054,1675,0
1283,2698,1
1281,1129,0
1066,468,0
730,1210,0
1053,3086,1
1611,1595,0
793,2332,1
1220,2589,1
1662,3760,1
1281,1851,0
538,417,0
823,294,0
1733,3576,1
1429,3945,1
1839,927,0
659,2044,0
1953,2334,1
1172,1477,0
612,3161,1
1563,3660,1
1191,1604,0
615,2211,0
1893,3822,1
1563,3922,1
1995,1203,1
1517,2822,1
832,447,0
1162,1652,0
1595,3608,1
1329,1228,0
928,666,0
1656,1499,0
1937,3321,1
977,1206,0
768,952,0
1464,3927,1
1177,311,0
1348,955,0
1956,1109,0
1751,2969,1
1530,725,0
1997,1655,1
1414,3490,1
1707,1774,1
894,3615,1
645,714,0
1163,2768,1
1126,3739,1
1648,610,0
1170,715,0
508,663,0
1097,1725,0
728,834,0
1980,3865,1
1504,3059,1
1379,651,0
1698,796,0
920,785,0
1144,3252,1
1995,1322,0
1430,2832,1
972,1615,0
662,2125,0
1867,990,0
1730,1595,0
1723,1213,0
1882,2500,1
803,2801,1
580,3451,1
668,1201,0
1391,3139,1
1560,1938,1
821,3185,1
811,2111,0
1989,2369,1
1034,3625,1
618,1051,0
654,1036,0
576,2938,1
667,2855,1
869,2727,1
635,2973,1
609,2581,0
1557,2690,1
1604,916,0
1182,2563,1
848,3359,1
1610,941,0
1828,2280,1
880,827,0
1394,473,0
1960,3865,1
809,1274,0
899,364,0
1976,3699,1
879,2927,1
916,1470,0
763,1050,0
508,2616,1
825,2915,1
1864,2686,1
1725,1243,0
1108,3264,1
1011,2261,0
1703,2993,1
1067,706,0
1334,2542,1
775,2523,1
1899,336,0
930,2457,0
1058,418,0
1187,3917,1
1874,1246,0
1482,2971,1
1809,2324,1
864,3121,1
625,3801,1
1880,3333,1
1138,3475,1
560,2360,0
1117,2895,1
1712,3652,1
1836,3097,1
1036,2101,0
1860,3918,1
1375,3869,1
1945,732,0
1896,3684,1
788,3969,1
880,1414,0
1323,1892,0
1868,3131,1
1266,2532,1
1042,3215,1
1479,3323,1
1476,1529,1
1552,2403,1
1454,3419,1
1007,3648,1
652,1974,0
1504,2806,1
1726,2239,1
1029,582,0
1582,3890,1
1478,1141,0
1178,2511,1
707,3838,1
755,2734,1
912,2330,0
651,2244,0
1483,1851,0
914,808,0
1456,1587,0
1178,2492,1
1503,2122,1
1681,1122,0
715,3709,1
1876,3021,1
1190,624,0
1755,3937,1
1197,1797,0
1048,1458,0
1887,3348,1
1772,1834,0
1421,2775,1
1464,1277,0
728,457,0
954,438,0
685,3210,1
1472,985,0
853,3701,1
1469,1052,0
1310,1175,0
1654,1070,0
902,3411,1
1448,1175,0
1631,301,0
1608,489,0
1991,1733,1
1349,2756,1
1589,2612,1
1844,1724,0
712,2190,0
972,1900,0
1406,3915,1
1289,1043,0
932,3817,1
1747,2362,1
1172,1107,0
1128,2982,1
664,2042,0
513,1343,0
1742,2610,1
1512,2335,1
1986,1614,0
965,1138,0
1067,604,0
1583,3652,1
1653,3955,1
1433,258,0
765,1066,0
1845,1731,0
752,3860,1
1948,3630,1
1077,1965,0
932,1459,0
1968,2323,1
1122,3291,1
1588,3272,1
601,918,0
1615,3488,1
1589,3961,1
